Fecha,Anio,Mes,Estacion,Temperatura,Humedad,BrilloSolar
2021-04-01,2021,4,2120559,14.270617485046387,82.94895935058594,89.7976303100586
2021-05-01,2021,5,2120559,13.603825569152832,82.09319305419922,72.21566772460938
2021-06-01,2021,6,2120559,12.84695053100586,84.09566497802734,86.45879364013672
2021-07-01,2021,7,2120559,13.43190860748291,77.9885025024414,103.82754516601562
2021-08-01,2021,8,2120559,13.320626258850098,75.7108383178711,100.7679443359375
2021-09-01,2021,9,2120559,13.862946510314941,78.49775695800781,95.62611389160156
2021-10-01,2021,10,2120559,14.436357498168945,77.99988555908203,77.5475082397461
2021-11-01,2021,11,2120559,14.374825477600098,73.88255310058594,79.00847625732422
2021-12-01,2021,12,2120559,13.878655433654785,65.08729553222656,111.7105712890625
2021-01-01,2021,1,2120561,9.320411682128906,70.14018249511719,113.00816345214844
2021-02-01,2021,2,2120561,9.353909492492676,66.67334747314453,122.740478515625
2021-03-01,2021,3,2120561,10.325963020324707,70.33023834228516,141.40455627441406
2021-04-01,2021,4,2120561,12.18638801574707,76.76043701171875,98.80630493164062
2021-05-01,2021,5,2120561,12.359593391418457,69.1653060913086,99.2267837524414
2021-06-01,2021,6,2120561,12.430937767028809,66.60285949707031,124.05875396728516
2021-07-01,2021,7,2120561,11.43303108215332,66.00077819824219,136.7023468017578
2021-08-01,2021,8,2120561,11.214155197143555,65.95783996582031,131.05612182617188
2021-09-01,2021,9,2120561,12.079451560974121,69.66799926757812,125.20589447021484
2021-10-01,2021,10,2120561,11.46053409576416,75.56265258789062,122.87367248535156
2021-11-01,2021,11,2120561,11.652132034301758,79.26441955566406,111.68119812011719
2021-12-01,2021,12,2120561,11.143058776855469,75.4494857788086,131.2882080078125
2021-01-01,2021,1,2120629,11.522953033447266,92.86114501953125,171.88929748535156
2021-02-01,2021,2,2120629,12.519577980041504,91.45426940917969,137.01971435546875
2021-03-01,2021,3,2120629,12.73672103881836,89.95501708984375,123.58665466308594
2021-04-01,2021,4,2120629,13.073986053466797,85.12578582763672,118.5325698852539
2021-05-01,2021,5,2120629,13.275641441345215,84.50079345703125,126.64696502685547
2021-06-01,2021,6,2120629,12.565237998962402,81.15841674804688,121.3489990234375
2021-07-01,2021,7,2120629,10.949719429016113,83.1622543334961,140.5401611328125
2021-08-01,2021,8,2120629,10.288556098937988,74.1023178100586,172.10035705566406
2021-09-01,2021,9,2120629,10.689208030700684,73.18218994140625,156.5813751220703
2021-10-01,2021,10,2120629,11.40126895904541,81.6667709350586,151.5386962890625
2021-11-01,2021,11,2120629,11.813957214355469,85.87612915039062,135.33126831054688
2021-12-01,2021,12,2120629,11.364161491394043,81.90132141113281,163.3837890625
2021-01-01,2021,1,2401513,13.203839302062988,77.2599105834961,205.32516479492188
2021-02-01,2021,2,2401513,14.17723560333252,75.05562591552734,184.153076171875
2021-03-01,2021,3,2401513,14.344968795776367,80.68489837646484,129.61553955078125
2021-04-01,2021,4,2401513,14.52798080444336,83.9261474609375,143.2414093017578
2021-05-01,2021,5,2401513,14.489287376403809,75.38740539550781,147.18043518066406
2021-06-01,2021,6,2401513,14.264397621154785,71.70986938476562,153.3240509033203
2021-07-01,2021,7,2401513,13.727130889892578,64.97631072998047,183.53445434570312
2021-08-01,2021,8,2401513,13.472491264343262,67.3920669555664,214.17532348632812
2021-09-01,2021,9,2401513,13.724669456481934,63.01902770996094,175.5560302734375
2021-10-01,2021,10,2401513,13.68168830871582,74.35426330566406,171.9388885498047
2021-11-01,2021,11,2401513,13.697549819946289,74.593994140625,151.7041015625
2021-12-01,2021,12,2401513,13.2121000289917,71.78892517089844,156.9674072265625
2021-01-01,2021,1,2120639,21.916940689086914,75.08528900146484,168.61114501953125
